RA,NOME,GENERO,ANO_INGRESSO,CF_2022,CG_2022,CT_2022,DEFASAGEM_2022,DEFASAGEM_2023,DEFASAGEM_2024,DESTAQUE_IDA_2022,DESTAQUE_IEG_2022,DESTAQUE_IPV_2022,ESCOLA_2024,FASE_2022,FASE_2023,FASE_2024,FASE_IDEAL_2022,FASE_IDEAL_2023,FASE_IDEAL_2024,IAA_2022,IAA_2023,IAA_2024,IAN_2022,IAN_2023,IAN_2024,IDA_2022,IDA_2023,IDA_2024,IDADE_2022,IDADE_2023,IDADE_2024,IEG_2022,IEG_2023,IEG_2024,INDE_2022,INDE_2023,INDE_2024,INDICADO_BOLSA_2022,INSTITUICAO_ENSINO_2022,INSTITUICAO_ENSINO_2023,INSTITUICAO_ENSINO_2024,IPP_2023,IPP_2024,IPS_2022,IPS_2023,IPS_2024,IPV_2022,IPV_2023,IPV_2024,NOTA_ING_2022,NOTA_ING_2023,NOTA_ING_2024,NOTA_MAT_2022,NOTA_MAT_2023,NOTA_MAT_2024,NOTA_PORT_2022,NOTA_PORT_2023,NOTA_PORT_2024,PEDRA_2022,PEDRA_2023,PEDRA_2024,PONTO_VIRADA_2022,QTDE_AVAL_2022,QTDE_AVAL_2023,QTDE_AVAL_2024,REC_PSICO_2022,STATUS_ATIVO_2024,TURMA_2022,TURMA_2023,TURMA_2024
RA-1159,Aluno-1159,Feminino,2023,,,,,0.0,,,,,,,FASE 3,,,Fase 3 (7° e 8° ano),,,5.8,,,10.0,,,3.1,,,,,,6.6,,,5.913883333,,,,Pública,,7.1875,,,2.52,,,7.1325,,,2.5,,,5.2,,,1.5,,,Quartzo,,,,4.0,,,,,3I,
RA-116,Aluno-116,Feminino,2019,46.0,538.0,8.0,-2.0,-2.0,,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,4,FASE 5,,Fase 6 (2º EM),Fase 7 (3° EM),,5.8,6.7,,5.0,5.0,,5.9,4.7,,16.0,17.0,,8.1,7.6,,6.854,6.433075,,True,Escola Pública,Pública,,7.96875,,6.3,5.0,,7.792,7.5475,,5.5,6.8,,5.0,2.3,,7.2,5.0,,Ágata,Ágata,,False,4.0,4.0,,Sem limitações,,B,5A,
RA-116,Aluno-116,Feminino,2021,,,,,,-2.0,,,,EE Joaquim Mendes Feliz,,,5A,,,Fase 7 (3° EM),,,8.334,,,5.0,,,4.5,,,18.0,,,7.535353535666666,,,6.337470707133334,,,,Pública,,6.875,,,5.635,,,6.73,,,5.0,,,6.5,,,2.0,,,Ágata,,,,5.0,,Cursando,,,5A
RA-1160,Aluno-1160,Masculino,2023,,,,,0.0,-1.0,,,,EE Joaquim Mendes Feliz,,FASE 3,3I,,Fase 3 (7° e 8° ano),Fase 4 (9° ano),,9.6,8.751,,10.0,5.0,,2.7,3.1666666666666665,,,14.0,,8.7,8.201288245,,6.636166667,6.274190982333334,,,Pública,Pública,6.875,6.25,,2.52,7.51,,7.2575,6.2475,,0.7,2.0,,4.8,5.5,,2.7,2.0,,Ágata,Ágata,,,4.0,4.0,,Cursando,,3I,3I
RA-1161,Aluno-1161,Feminino,2023,,,,,0.0,,,,,,,FASE 3,,,Fase 3 (7° e 8° ano),,,6.3,,,10.0,,,6.3,,,,,,8.1,,,7.317791667,,,,Pública,,8.28125,,,2.52,,,8.63,,,5.2,,,7.3,,,6.5,,,Ametista,,,,4.0,,,,,3I,
RA-1162,Aluno-1162,Feminino,2023,,,,,0.0,0.0,,,,EE Maria André Schunck Dona,,FASE 3,4M,,Fase 3 (7° e 8° ano),Fase 4 (9° ano),,8.3,7.917,,10.0,10.0,,6.0,5.666666666666667,,13.0,14.0,,8.5,9.135672514666666,,7.44215,7.473167836266667,,,Pública,Pública,7.8125,6.875,,3.77,6.26,,7.7525,7.0375,,5.2,5.5,,7.3,4.0,,5.5,7.5,,Ametista,Ametista,,,4.0,4.0,,Cursando,,3K,4M
RA-1163,Aluno-1163,Masculino,2023,,,,,-1.0,0.0,,,,EE Maria André Schunck Dona,,FASE 3,4M,,Fase 4 (9° ano),Fase 4 (9° ano),,8.8,8.334,,5.0,10.0,,7.2,7.833333333333333,,14.0,15.0,,9.3,9.824561403666666,,7.749391667,8.6794789474,,,Pública,Pública,7.65625,8.125,,7.52,7.51,,7.75,8.755,,8.0,7.5,,7.0,9.5,,6.7,6.5,,Ametista,Topázio,,,4.0,4.0,,Cursando,,3L,4M
RA-1164,Aluno-1164,Masculino,2023,,,,,0.0,,,,,,,FASE 3,,,Fase 3 (7° e 8° ano),,,9.2,,,10.0,,,4.8,,,13.0,,,7.5,,,6.910091667,,,,Pública,,7.65625,,,2.52,,,7.545,,,0.0,,,7.0,,,7.5,,,Ágata,,,,4.0,,,,,3M,
RA-1165,Aluno-1165,Feminino,2023,,,,,0.0,0.0,,,,EM Alfredo Schunk,,FASE 3,3L,,Fase 3 (7° e 8° ano),Fase 3 (7° e 8° ano),,9.2,8.751,,10.0,10.0,,7.3,8.0,,12.0,13.0,,9.1,6.829721362333333,,7.880716667,7.908044272466667,,,Pública,Pública,7.1875,6.875,,5.0,8.135,,7.2925,7.83,,9.0,7.5,,7.0,9.0,,6.0,7.5,,Ametista,Ametista,,,4.0,4.0,,Cursando,,3M,3L
RA-1166,Aluno-1166,Feminino,2023,,,,,-2.0,-1.0,,,,EE Donizetti Aparecido Leite Professor,,FASE 3,4M,,Fase 5 (1° EM),Fase 5 (1° EM),,8.3,8.334,,5.0,5.0,,4.8,6.333333333333333,,15.0,16.0,,9.6,8.498245614,,7.307858333,7.452799122766667,,,Pública,Pública,7.65625,8.020833333,,7.52,6.26,,7.9175,8.625,,6.2,7.0,,5.3,5.0,,2.8,7.0,,Ametista,Ametista,,,4.0,4.0,,Cursando,,3M,4M
RA-1167,Aluno-1167,Masculino,2023,,,,,-3.0,,,,,,,FASE 3,,,Fase 6 (2° EM),,,8.8,,,2.5,,,3.8,,,16.0,,,7.6,,,6.021891667,,,,Pública,,7.65625,,,2.52,,,7.9625,,,1.8,,,6.0,,,3.7,,,Ágata,,,,4.0,,,,,3M,
RA-1168,Aluno-1168,Feminino,2023,,,,,0.0,-1.0,,,,EE Paschoal Carlos Magno,,FASE 3,3N,,Fase 3 (7° e 8° ano),Fase 4 (9° ano),,0.0,9.585,,10.0,5.0,,3.5,5.666666666666667,,13.0,14.0,,8.8,7.682352941333334,,5.886625,6.864053921600001,,,Pública,Pública,7.65625,7.1875,,2.52,7.51,,7.045,6.33,,3.5,5.0,,5.0,8.5,,2.0,3.5,,Quartzo,Ágata,,,4.0,2.0,,Cursando,,3N,3N
RA-1169,Aluno-1169,Feminino,2023,,,,,-1.0,-1.0,,,,EE Maria André Schunck Dona,,FASE 3,4N,,Fase 4 (9° ano),Fase 5 (1° EM),,7.5,6.25,,5.0,5.0,,6.3,6.833333333333333,,,15.0,,9.5,8.444444444333334,,7.213625,6.885305555533334,,,Pública,Pública,7.03125,7.8125,,5.0,5.635,,8.0025,6.8,,4.8,8.0,,6.8,6.0,,7.3,6.5,,Ametista,Ágata,,,4.0,5.0,,Cursando,,3P,4N
RA-117,Aluno-117,Feminino,2022,55.0,593.0,10.0,-1.0,,,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,4,,,Fase 5 (1º EM),,,7.9,,,5.0,,,6.1,,,15.0,,,6.3,,,6.685,,,False,Escola Pública,,,,,6.9,,,7.417,,,7.0,,,4.7,,,6.7,,,Ágata,,,False,4.0,,,Requer avaliação,,B,,
RA-1170,Aluno-1170,Masculino,2023,,,,,-1.0,-2.0,,,,EE Donizetti Aparecido Leite Professor,,FASE 3,3P,,Fase 4 (9° ano),Fase 5 (1° EM),,8.8,9.168,,5.0,5.0,,5.9,3.5,,,15.0,,7.7,5.565079365,,6.874683333,6.095440873,,,Pública,Pública,7.1875,7.03125,,7.52,8.13,,6.5775,6.7475,,4.8,7.0,,6.0,1.0,,6.8,2.5,,Ágata,Ágata,,,4.0,4.0,,Cursando,,3P,3P
RA-1171,Aluno-1171,Masculino,2023,,,,,-1.0,-1.0,,,,EE Donizetti Aparecido Leite Professor,,FASE 3,4R,,Fase 4 (9° ano),Fase 5 (1° EM),,7.9,8.334,,5.0,5.0,,8.7,7.5,,14.0,15.0,,8.4,7.230158729999999,,7.856033333,7.6236817459,,,Pública,Pública,8.75,8.645833333,,5.0,7.51,,8.88,8.643333333,,9.7,8.0,,7.3,5.0,,9.0,9.5,,Ametista,Ametista,,,4.0,6.0,,Cursando,,3P,4R
RA-1172,Aluno-1172,Feminino,2023,,,,,-2.0,-1.0,,,,EE Donizetti Aparecido Leite Professor,,FASE 4,5A,,Fase 6 (2° EM),Fase 6 (2° EM),,8.3,7.5,,5.0,5.0,,6.7,3.3333333333333335,,16.0,17.0,,7.8,6.0634920633333325,,7.030108333,5.719565079333334,,,Pública,Pública,8.59375,7.25,,2.52,6.26,,8.46,6.196,,8.3,5.0,,6.0,0.0,,5.7,5.0,,Ametista,Quartzo,,,4.0,5.0,,Cursando,,4A,5A
RA-1173,Aluno-1173,Masculino,2023,,,,,0.0,0.0,,,,EE Leonice de Aquino Oliveira,,FASE 4,5D,,Fase 4 (9° ano),Fase 5 (1° EM),,8.8,9.168,,10.0,10.0,,6.0,5.833333333333333,,14.0,15.0,,9.7,9.665831245,,7.67285,8.220132915666667,,,Pública,Pública,7.8125,8.125,,2.52,7.51,,8.1225,8.2,,6.0,4.0,,7.0,6.0,,5.0,7.5,,Ametista,Topázio,,,4.0,5.0,,Cursando,,4A,5D
RA-1174,Aluno-1174,Feminino,2023,,,,,-1.0,0.0,,,,EE Olivia de Faria Nogueira,,FASE 4,5B,,Fase 5 (1° EM),Fase 5 (1° EM),,9.2,8.751,,5.0,10.0,,6.8,5.0,,15.0,16.0,,8.7,8.349567099333333,,7.333591667,7.374213419866667,,,Pública,Pública,8.90625,7.5,,2.52,6.26,,8.3375,7.266,,6.8,7.0,,6.5,5.0,,7.2,3.0,,Ametista,Ametista,,,4.0,5.0,,Cursando,,4B,5B
RA-1175,Aluno-1175,Feminino,2023,,,,,-3.0,,,,,,,FASE 4,,,Fase 7 (3° EM),,,8.3,,,2.5,,,6.3,,,,,,5.3,,,5.939858333,,,,Pública,,7.65625,,,2.52,,,7.6275,,,6.2,,,6.3,,,6.3,,,Quartzo,,,,4.0,,,,,4B,
RA-1176,Aluno-1176,Masculino,2023,,,,,1.0,1.0,,,,Colégio Arco Íris Evolução,,FASE 4,5C,,Fase 3 (7° e 8° ano),Fase 4 (9° ano),,8.3,8.751,,10.0,10.0,,8.2,9.166666666666666,,13.0,14.0,,9.3,9.682539682666667,,8.881483333,8.914816269866666,,,Pública,Privada - Programa de Apadrinhamento,9.6875,8.59375,,7.52,6.26,,9.17,8.9225,,8.7,9.5,,8.0,10.0,,7.8,8.0,,Topázio,Topázio,,,4.0,4.0,,Cursando,,4B,5C
RA-1177,Aluno-1177,Feminino,2023,,,,,0.0,0.0,,,,EE Mario Francisco de Amorim,,FASE 4,5C,,Fase 4 (9° ano),Fase 5 (1° EM),,10.0,8.751,,10.0,10.0,,7.2,7.333333333333333,,14.0,15.0,,9.9,9.824561403666666,,8.345491667,8.3233039474,,,Pública,Pública,8.90625,7.65625,,2.52,6.26,,8.88,8.125,,8.0,7.0,,7.0,9.5,,6.7,5.5,,Topázio,Topázio,,,4.0,4.0,,Cursando,,4B,5C
RA-1178,Aluno-1178,Masculino,2023,,,,,-2.0,-1.0,,,,EE Mario Francisco de Amorim,,FASE 4,5D,,Fase 6 (2° EM),Fase 6 (2° EM),,8.8,8.751,,5.0,5.0,,5.7,8.333333333333334,,,17.0,,9.3,9.682539682666667,,7.066475,8.0934746032,,,Pública,Pública,7.96875,7.5,,2.52,6.26,,8.2125,8.696,,6.3,8.0,,6.3,9.0,,4.5,8.0,,Ametista,Topázio,,,4.0,5.0,,Cursando,,4C,5D
RA-1179,Aluno-1179,Masculino,2023,,,,,-1.0,,,,,,,FASE 4,,,Fase 5 (1° EM),,,9.6,,,5.0,,,5.0,,,,,,8.1,,,6.631333333,,,,Pública,,6.875,,,4.38,,,7.17,,,4.5,,,6.7,,,3.7,,,Ágata,,,,4.0,,,,,4C,
RA-118,Aluno-118,Feminino,2021,70.0,775.0,12.0,0.0,,,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,4,,,Fase 4 (9º ano),,,0.0,,,10.0,,,3.9,,,14.0,,,5.3,,,5.597,,,False,Escola Pública,,,,,6.3,,,6.958,,,3.5,,,3.7,,,4.7,,,Quartzo,,,False,4.0,,,Sem limitações,,B,,
RA-1180,Aluno-1180,Masculino,2023,,,,,-1.0,,,,,,,FASE 4,,,Fase 5 (1° EM),,,8.3,,,5.0,,,5.4,,,15.0,,,9.5,,,7.067983333,,,,Pública,,7.1875,,,5.0,,,7.7125,,,5.3,,,6.0,,,4.8,,,Ametista,,,,4.0,,,,,4C,
RA-1181,Aluno-1181,Feminino,2023,,,,,0.0,0.0,,,,EE Paschoal Carlos Magno,,FASE 4,5B,,Fase 4 (9° ano),Fase 5 (1° EM),,8.8,9.168,,10.0,10.0,,4.8,3.8333333333333335,,,15.0,,8.3,5.036075036,,6.971266667,6.2015816738666665,,,Pública,Pública,7.5,7.125,,2.52,6.26,,7.3375,5.862,,4.5,9.5,,5.7,1.0,,4.3,1.0,,Ágata,Ágata,,,4.0,5.0,,Cursando,,4C,5B
RA-1182,Aluno-1182,Feminino,2023,,,,,-2.0,,,,,,,FASE 4,,,Fase 6 (2° EM),,,7.5,,,5.0,,,4.2,,,,,,6.3,,,5.709808333,,,,Pública,,6.71875,,,2.52,,,7.2125,,,5.2,,,5.3,,,2.0,,,Quartzo,,,,4.0,,,,,4C,
RA-1183,Aluno-1183,Masculino,2023,,,,,-1.0,,,,,,,FASE 4,,,Fase 5 (1° EM),,,7.5,,,5.0,,,5.3,,,15.0,,,8.7,,,6.269541667,,,,Pública,,6.09375,,,2.52,,,6.7575,,,6.0,,,6.0,,,4.0,,,Ágata,,,,4.0,,,,,4C,
RA-1184,Aluno-1184,Masculino,2023,,,,,-2.0,-1.0,,,,EE Joaquim Mendes Feliz,,FASE 4,5F,,Fase 6 (2° EM),Fase 6 (2° EM),,8.3,6.666,,5.0,5.0,,7.3,7.666666666666667,,,17.0,,8.3,8.658008657666668,,7.381566667,7.411701731566668,,,Pública,Pública,8.125,7.291666667,,5.0,7.51,,8.045,7.5,,8.5,10.0,,8.0,6.0,,5.5,7.0,,Ametista,Ametista,,,4.0,3.0,,Cursando,,4F,5F
RA-1185,Aluno-1185,Feminino,2023,,,,,1.0,,,,,,,FASE 4,,,Fase 3 (7° e 8° ano),,,7.5,,,10.0,,,7.5,,,,,,9.1,,,8.02675,,,,Pública,,7.8125,,,5.0,,,8.3775,,,9.5,,,6.7,,,6.3,,,Topázio,,,,4.0,,,,,4G,
RA-1186,Aluno-1186,Feminino,2023,,,,,-2.0,,,,,,,FASE 4,,,Fase 6 (2° EM),,,8.8,,,5.0,,,5.5,,,,,,9.8,,,7.281433333,,,,Pública,,6.875,,,6.89,,,7.3825,,,4.5,,,6.7,,,5.2,,,Ametista,,,,4.0,,,,,4G,
RA-1187,Aluno-1187,Feminino,2023,,,,,1.0,,,,,,,FASE 4,,,Fase 3 (7° e 8° ano),,,8.8,,,10.0,,,5.3,,,13.0,,,6.9,,,6.644475,,,,Pública,,7.34375,,,2.52,,,6.715,,,6.2,,,4.7,,,5.0,,,Ágata,,,,4.0,,,,,4G,
RA-1188,Aluno-1188,Feminino,2023,,,,,-1.0,-1.0,,,,EE Olivia de Faria Nogueira,,FASE 4,5G,,Fase 5 (1° EM),Fase 6 (2° EM),,9.6,9.168,,5.0,5.0,,6.4,7.0,,15.0,16.0,,9.4,10.0,,,7.801633333400001,,,Pública,Pública,7.8125,8.125,,,7.51,,7.5875,7.106666667,,5.2,8.0,,6.5,7.0,,7.5,6.0,,,Ametista,,,4.0,3.0,,Cursando,,4H,5G
RA-1189,Aluno-1189,Feminino,2023,,,,,-1.0,-1.0,,,,EE Olivia de Faria Nogueira,,FASE 4,5G,,Fase 5 (1° EM),Fase 6 (2° EM),,8.8,9.585,,5.0,5.0,,6.1,7.666666666666667,,,16.0,,9.0,8.672360248333332,,,7.6486387164,,,Pública,Pública,7.8125,7.5,,,7.51,,7.3775,7.106666667,,6.2,9.0,,6.3,7.0,,5.7,7.0,,,Ametista,,,4.0,3.0,,Cursando,,4H,5G
RA-119,Aluno-119,Feminino,2016,26.0,311.0,3.0,0.0,2.0,,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,4,FASE 7,,Fase 4 (9º ano),Fase 5 (1° EM),,8.3,6.7,,10.0,10.0,,5.4,,,14.0,15.0,,8.2,,,7.501,,,False,Rede Decisão,Privada - Programa de Apadrinhamento,,,,5.6,2.52,,7.875,,,3.4,,,5.7,,,7.0,,,Ametista,,,False,4.0,,,Requer avaliação,,B,7E,
RA-119,Aluno-119,Feminino,2021,,,,,,1.0,,,,Colégio Albert Einstein - SP,,,7E,,,Fase 6 (2° EM),,,7.083,,,10.0,,,7.366666666666667,,,16.0,,,9.983333333,,,8.085299999933333,,,,Privada - Programa de Apadrinhamento,,7.5,,,6.57,,,7.5,,,8.55,,,6.05,,,7.5,,,Topázio,,,,0.0,,Cursando,,,7E
RA-1190,Aluno-1190,Masculino,2023,,,,,0.0,,,,,,,FASE 4,,,Fase 4 (9° ano),,,0.0,,,10.0,,,4.2,,,,,,9.2,,,6.330041667,,,,Pública,,7.34375,,,5.0,,,7.045,,,5.5,,,3.0,,,4.2,,,Ágata,,,,4.0,,,,,4L,
RA-1191,Aluno-1191,Masculino,2023,,,,,0.0,,,,,,,FASE 4,,,Fase 4 (9° ano),,,7.5,,,10.0,,,3.7,,,,,,7.2,,,6.175333333,,,,Pública,,5.0,,,5.0,,,6.26,,,6.2,,,2.3,,,2.5,,,Ágata,,,,4.0,,,,,4L,
RA-1192,Aluno-1192,Feminino,2023,,,,,-1.0,,,,,,,FASE 4,,,Fase 5 (1° EM),,,7.9,,,5.0,,,5.8,,,15.0,,,8.7,,,6.780741667,,,,Pública,,7.96875,,,2.52,,,7.6675,,,6.8,,,4.7,,,6.0,,,Ágata,,,,4.0,,,,,4L,
RA-1193,Aluno-1193,Feminino,2023,,,,,0.0,-1.0,,,,EE Donizetti Aparecido Leite Professor,,FASE 4,4L,,Fase 4 (9° ano),Fase 5 (1° EM),,0.0,8.751,,10.0,5.0,,4.1,4.0,,,15.0,,7.8,7.763157895,,6.018083333,6.6304815790000005,,,Pública,Pública,7.1875,7.8125,,5.0,5.635,,7.13,7.79,,5.0,3.0,,3.7,3.0,,3.5,6.0,,Ágata,Ágata,,,4.0,4.0,,Cursando,,4L,4L
RA-1194,Aluno-1194,Masculino,2023,,,,,1.0,,,,,,,FASE 4,,,Fase 3 (7° e 8° ano),,,8.8,,,10.0,,,6.1,,,13.0,,,9.0,,,7.671933333,,,,Pública,,7.5,,,5.0,,,7.6675,,,8.0,,,6.0,,,4.2,,,Ametista,,,,4.0,,,,,4N,
RA-1195,Aluno-1195,Feminino,2022,,,,,-3.0,-2.0,,,,EE Maria André Schunck Dona,,FASE 4,5N,,Fase 7 (3° EM),Fase 7 (3° EM),,0.0,9.585,,2.5,5.0,,5.4,6.166666666666667,,,18.0,,8.3,9.855072463666666,,5.677291667,7.5085144926666665,,,Pública,Pública,8.28125,7.5,,2.52,5.63,,8.0025,7.663333333,,7.3,5.5,,4.3,8.0,,4.7,5.0,,Quartzo,Ametista,,,4.0,3.0,,Cursando,,4N,5N
RA-1196,Aluno-1196,Masculino,2023,,,,,0.0,,,,,,,FASE 5,,,Fase 5 (1° EM),,,0.0,,,10.0,,,7.5,,,15.0,,,8.2,,,7.03025,,,,Privada,,7.8125,,,5.0,,,8.045,,,8.3,,,8.0,,,6.2,,,Ametista,,,,4.0,,,,,5B,
RA-1197,Aluno-1197,Feminino,2023,,,,,-1.0,,,,,,,FASE 5,,,Fase 6 (2° EM),,,6.7,,,5.0,,,7.3,,,16.0,,,8.4,,,6.946058333,,,,Pública,,7.03125,,,5.0,,,7.215,,,9.3,,,5.3,,,7.2,,,Ágata,,,,4.0,,,,,5B,
RA-1198,Aluno-1198,Feminino,2023,,,,,-1.0,-1.0,,,,EE Joaquim Mendes Feliz,,FASE 5,5A,,Fase 6 (2° EM),Fase 6 (2° EM),,8.3,8.751,,5.0,5.0,,6.7,3.5,,,17.0,,9.4,9.458874459,,7.515233333,6.9217748918,,,Pública,Pública,7.5,7.375,,6.26,7.51,,7.9625,7.332,,9.0,9.5,,7.3,0.0,,3.7,1.0,,Ametista,Ágata,,,4.0,5.0,,Cursando,,5B,5A
RA-1199,Aluno-1199,Masculino,2023,,,,,-2.0,-2.0,,,,Concluiu o 3º EM,,FASE 5,5D,,Fase 7 (3° EM),Fase 7 (3° EM),,6.7,7.5,,5.0,5.0,,6.2,9.0,,,18.0,,9.1,8.571428571333334,,7.024933333,7.614235714266666,,,Pública,Concluiu o 3º EM,6.875,6.5625,,5.0,5.005,,8.0875,8.466,,6.7,10.0,,6.8,10.0,,5.0,7.0,,Ametista,Ametista,,,4.0,5.0,,Cursando,,5C,5D
RA-12,Aluno-12,Feminino,2020,20.0,834.0,12.0,0.0,0.0,,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,,7,FASE 8,,Fase 7 (3º EM),Fase 8 (Universitários),,0.0,,,10.0,10.0,,1.5,,,17.0,18.0,,4.0,,,4.832,,,True,Escola Pública,Privada *Parcerias com Bolsa 100%,,,,6.9,,,6.389,,,0.7,,,2.7,,,1.1,,,Quartzo,,,False,4.0,,,Sem limitações,,A,8E,
RA-12,Aluno-12,Feminino,2021,,,,,,0.0,,,,Universidade Santo Amaro (UNISA),,,8E,,,Fase 8 (Universitários),,,,,,10.0,,,,,,19.0,,,0.0,,,,,,,Privada *Parcerias com Bolsa 100%,,,,,,,,,,,,,,,,,,,,,,,,0.0,,Cursando,,,8E
RA-120,Aluno-120,Masculino,2019,48.0,547.0,9.0,-1.0,,,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Melhorar a sua entrega de lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,,4,,,Fase 5 (1º EM),,,8.3,,,5.0,,,6.2,,,15.0,,,5.9,,,6.825,,,True,Escola Pública,,,,,7.5,,,7.667,,,9.7,,,3.7,,,5.2,,,Ágata,,,False,4.0,,,Não atendido,,B,,
RA-1200,Aluno-1200,Feminino,2023,,,,,0.0,-1.0,,,,EE Maria André Schunck Dona,,FASE 5,5N,,Fase 5 (1° EM),Fase 6 (2° EM),,0.0,7.917,,10.0,5.0,,4.0,1.5,,15.0,16.0,,6.4,7.099419478000001,,5.711166667,5.6415838956,,,Pública,Pública,7.5,7.5,,5.0,6.26,,6.8725,6.27,,5.5,0.0,,4.3,0.0,,2.3,4.5,,Quartzo,Quartzo,,,4.0,3.0,,Cursando,,5C,5N
RA-1201,Aluno-1201,Masculino,2023,,,,,0.0,-1.0,,,,EE Maria André Schunck Dona,,FASE 5,5N,,Fase 5 (1° EM),Fase 6 (2° EM),,9.2,8.751,,10.0,5.0,,7.8,9.0,,15.0,16.0,,9.6,9.523809523666666,,8.378008333,8.376195238033333,,,Pública,Pública,8.59375,8.333333333,,3.77,7.51,,8.7575,8.56,,8.5,10.0,,8.3,9.0,,6.5,8.0,,Topázio,Topázio,,,4.0,3.0,,Cursando,,5C,5N
RA-1202,Aluno-1202,Feminino,2023,,,,,-1.0,,,,,,,FASE 5,,,Fase 6 (2° EM),,,7.1,,,5.0,,,3.3,,,16.0,,,7.6,,,6.202008333,,,,Pública,,7.34375,,,7.52,,,6.67,,,2.0,,,4.5,,,3.3,,,Ágata,,,,4.0,,,,,5F,
RA-1203,Aluno-1203,Feminino,2023,,,,,-1.0,0.0,,,,Colégio Arco Íris Evolução,,FASE 5,6L,,Fase 6 (2° EM),Fase 6 (2° EM),,9.2,9.168,,5.0,10.0,,7.2,9.0,,,17.0,,10.0,9.649122807,,7.487841667,8.9495245614,,,Pública,Privada - Programa de Apadrinhamento,7.96875,8.375,,2.52,7.51,,7.8775,8.572,,9.2,9.5,,6.7,8.5,,5.8,9.0,,Ametista,Topázio,,,4.0,5.0,,Cursando,,5L,6L
RA-1204,Aluno-1204,Masculino,2023,,,,,-1.0,,,,,,,FASE 5,,,Fase 6 (2° EM),,,7.5,,,5.0,,,6.1,,,16.0,,,8.7,,,6.940416667,,,,Pública,,7.8125,,,5.0,,,7.2125,,,9.7,,,5.0,,,3.7,,,Ágata,,,,4.0,,,,,5L,
RA-1205,Aluno-1205,Feminino,2023,,,,,-3.0,,,,,,,FASE 5,,,Fase 8 (Universitários),,,9.2,,,2.5,,,5.0,,,18.0,,,9.2,,,6.806466667,,,,Pública,,7.5,,,6.26,,,7.085,,,6.2,,,5.2,,,3.7,,,Ágata,,,,4.0,,,,,5L,
RA-1206,Aluno-1206,Feminino,2023,,,,,-2.0,,,,,,,FASE 5,,,Fase 7 (3° EM),,,8.8,,,5.0,,,5.6,,,17.0,,,8.3,,,6.724183333,,,,Pública,,7.8125,,,2.52,,,7.7125,,,8.3,,,4.7,,,3.7,,,Ágata,,,,4.0,,,,,5M,
RA-1207,Aluno-1207,Feminino,2023,,,,,0.0,-1.0,,,,EE Donizetti Aparecido Leite Professor,,FASE 5,5M,,Fase 5 (1° EM),Fase 6 (2° EM),,8.8,8.334,,10.0,5.0,,5.5,5.333333333333333,,,16.0,,9.0,6.581140350999999,,7.58235,6.509169736866667,,,Pública,Pública,7.8125,7.34375,,5.0,7.51,,7.63,6.5375,,7.5,10.0,,5.0,4.5,,4.0,1.5,,Ametista,Ágata,,,4.0,4.0,,Cursando,,5M,5M
RA-1208,Aluno-1208,Masculino,2023,,,,,0.0,,,,,,,FASE 5,,,Fase 5 (1° EM),,,8.8,,,10.0,,,6.2,,,15.0,,,8.8,,,7.0651,,,,Pública,,6.875,,,2.52,,,6.2525,,,8.8,,,5.0,,,4.8,,,Ametista,,,,4.0,,,,,5M,
RA-1209,Aluno-1209,Feminino,2023,,,,,-1.0,,,,,,,FASE 5,,,Fase 6 (2° EM),,,7.5,,,5.0,,,7.4,,,16.0,,,9.4,,,7.43375,,,,Pública,,7.8125,,,5.0,,,7.7125,,,8.8,,,7.7,,,5.7,,,Ametista,,,,4.0,,,,,5M,
RA-121,Aluno-121,Feminino,2021,33.0,413.0,5.0,-2.0,-1.0,-2.0,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa entrega das lições de casa.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,EE Joaquim Mendes Feliz,4,FASE 5,5A,Fase 6 (2º EM),Fase 6 (2° EM),Fase 7 (3° EM),7.1,6.3,8.751,5.0,5.0,5.0,7.2,6.0,8.833333333333334,16.0,,17.0,8.4,8.8,8.152958153,7.245,6.811875,7.476158297266668,True,Escola Pública,Pública,Pública,7.34375,7.25,6.3,5.0,6.26,7.625,7.4625,6.764,9.0,7.3,10.0,5.7,5.0,7.5,6.8,5.7,9.0,Ametista,Ágata,Ametista,False,4.0,4.0,5.0,Sem limitações,Cursando,B,5A,5A
